asrama lebih diperbaiki lagi apalagi soal air yang kotor dan fasilitas asrama yang rusak seperti dispenser,-1,1,1,1,1
Fasilitas nya lebih ditingkatkan lagi!,-1,-1,-1,-1,-1
"masih kurang, terutama untuk asrama pada masalah air minum atau penyuplai air minum kurang rutin menyuplai tiap harinya",-1,1,1,1,1
-,-1,1,1,1,1
"air asarama tolong lebih bersih, karena masih sering ditemukan pasir dan cacing. untuk lantai 4 gedung 3 sangat terganggu dengan suara mesin di lantai 5",-1,1,1,1,1
"Asrama: fasilitas di asrama kurang baik terutama utuk air dan tirai
kesehatan: fasilitas di area kantin kurang memadai dalam hal makanan baik itu buah, sayur dll. dan seharusnya klinik di telkom lebih efisien dalam hal pemeriksaan terhadap Mahasiswa/inya.
layanan asuransi dan kegiatan mahasiswa baik, dipertahankan dan berharap lebih baik lagi.",-1,-1,1,1,1
penyediaan layanan kemahasiswaan sudah tersedia dengan baik,-1,1,1,1,1
Biasanya asrsma airnya kotor,1,1,1,1,1
SUdah baik,1,1,1,1,1
sudah diatas standar,1,1,1,1,1
lebih baik lagi,-1,-1,-1,-1,-1
"sangat puas untuk implementasi layanan kemahasiswaan di universitas telkom. Mungkin sedikit saran saja, untuk keamanan di setiap asrama ditingkatkan kembali, karena saya masih suka mendengar berita terjadi pencurian barang atau uang di dalam asrama.",-1,1,1,1,1
Bagus,1,1,1,1,1
semoga bisa lebih baik,-1,-1,-1,-1,-1
Semoga beasiswa yg telah diberikan cepat ada kelanjutannya. Banyak penerima beasiswa yg telah diumumkan ternyata tidak diberi tahu bagaimana kelanjutannya,1,1,1,-1,1
lebih ditingkatin lagi,-1,-1,-1,-1,-1
menjadi lebih baik lagi,-1,-1,-1,-1,-1
Untuk Asrama Airnya terkadang keluar cacing dan lorong-lorong lantai yang baunya tajam akibat sampah yang lama tidak diangkut,-1,1,1,1,1
"Asramanya airnya banyak cacing, lumpur",-1,1,1,1,1
puas tdk ada saran,1,1,1,1,1
-,1,1,1,1,1
diperbaiki,-1,-1,-1,-1,-1
Sudah baik. Kampus sudah turut aktif di dalam ormawa kerohaniaan yang turut serta membantu dalam mentoring,1,1,1,1,1
sudah bagus,1,1,1,1,1
sudah bagus tapi masih banyak yang perlu dibenahi  tentang pelayanan asrama,-1,1,1,1,1
"please itu student center gedein lagiiiii...kadang masih ada deskriminasi kita sebagai anak FIK kalo mau pake itu GOR. gara gara gor di letakkan di wilayah kekuasan FIT, itu kaya milik mereka. sering terjadi rebutan lapang.",1,1,1,1,-1
terus menjadi lebih baik,-1,-1,-1,-1,-1
tingkatkan lagi,-1,-1,-1,-1,-1
