asrama lebih diperbaiki lagi apalagi soal air yang kotor dan fasilitas asrama yang rusak seperti dispenser,-1
Fasilitas nya lebih ditingkatkan lagi!,-1
"masih kurang, terutama untuk asrama pada masalah air minum atau penyuplai air minum kurang rutin menyuplai tiap harinya",-1
-,-1
"air asarama tolong lebih bersih, karena masih sering ditemukan pasir dan cacing. untuk lantai 4 gedung 3 sangat terganggu dengan suara mesin di lantai 5",-1
"Asrama: fasilitas di asrama kurang baik terutama utuk air dan tirai
kesehatan: fasilitas di area kantin kurang memadai dalam hal makanan baik itu buah, sayur dll. dan seharusnya klinik di telkom lebih efisien dalam hal pemeriksaan terhadap Mahasiswa/inya.
layanan asuransi dan kegiatan mahasiswa baik, dipertahankan dan berharap lebih baik lagi.",-1
penyediaan layanan kemahasiswaan sudah tersedia dengan baik,-1
Biasanya asrsma airnya kotor,1
SUdah baik,1
sudah diatas standar,1
lebih baik lagi,-1
"sangat puas untuk implementasi layanan kemahasiswaan di universitas telkom. Mungkin sedikit saran saja, untuk keamanan di setiap asrama ditingkatkan kembali, karena saya masih suka mendengar berita terjadi pencurian barang atau uang di dalam asrama.",-1
Bagus,1
semoga bisa lebih baik,-1
Semoga beasiswa yg telah diberikan cepat ada kelanjutannya. Banyak penerima beasiswa yg telah diumumkan ternyata tidak diberi tahu bagaimana kelanjutannya,1
lebih ditingkatin lagi,-1
menjadi lebih baik lagi,-1
Untuk Asrama Airnya terkadang keluar cacing dan lorong-lorong lantai yang baunya tajam akibat sampah yang lama tidak diangkut,-1
"Asramanya airnya banyak cacing, lumpur",-1
puas tdk ada saran,1
-,1
diperbaiki,-1
Sudah baik. Kampus sudah turut aktif di dalam ormawa kerohaniaan yang turut serta membantu dalam mentoring,1
sudah bagus,1
sudah bagus tapi masih banyak yang perlu dibenahi  tentang pelayanan asrama,-1
"please itu student center gedein lagiiiii...kadang masih ada deskriminasi kita sebagai anak FIK kalo mau pake itu GOR. gara gara gor di letakkan di wilayah kekuasan FIT, itu kaya milik mereka. sering terjadi rebutan lapang.",1
terus menjadi lebih baik,-1
tingkatkan lagi,-1
"Ketepatan obat & pelayanan poliklinik ditingkatkan,karena saya pernah berobat di poliklinik telkom dan mendapat obat yang tidak sesuai sehingga saya harus merasakan tidak enak badan hingga 2minggu",1
-,1
Parkiran jangan cuma terpusat disitu ! Kaga muat,1
sudah baik,1
tingkatkan,-1
lebih ditingkatkan lagi,-1
Memuaskan,1
mahasiswa agar lebih dilayani saat membutuhkan pertolongan yang berhubungan dengan kuliah,1
"so far so good, fasilitas kesehatan ditingkatin dibagusin juga gitu hehehe",1
Tingkatkan kualitas,-1
sudah lumayan bagus,1
diberikan lapangan yang terawa,1
good,1
Layanam kesehatan di perbanyak dan di tingkat kan lagi.,1
kegiatan mahasiswa sudah sangat interaktif,1
kegiatan mahasiswanya sudah baik dan pelayanan asramanya juga sudah baik,1
lumayan,1
"tingkatkan kemudahan akses informasi seputar asrama, kesehatan, dll agar tidak ada miskomunikasi.",-1
saat ini Universitas Telkom dalam bidang Layanan Kemahasiswaan cukup bekerja degan baik.,1
-,1
"Lebih baik perluas tempat parkir terutama parkiran motor agar lebih tertib, kondisikan dokter yang ada di klinik",1
tingkatkan pelayanan,-1
Di berikan atap di setiap jalan asrama agar tidak kehujanan,-1
sudah baik,1
sangat bagus,1
perbaiki sistem kesehatan telkom,1
lebih baik lagi yaaa,-1
-,1
sudah baik,1
"Saya memang belum pernah berobat ke Poliklinik, tapi saya banyak mendengar keluhan-keluhan dari teman saya jika pelayanannya tidak memuaskan dan membuat mereka malas untuk berobat ke Poliklinik bahkan lebih memilih berobat di klinik luar sekalipun berbayar. Tolong layanannya diperbaiki.",1
layanan supaya ditingkatkan. apalagi maasalah layanan kesehatan.,-1
ditngkatkan kembali dan tidak mempersulit mahasiswa,-1
layanan bidang kemahasiswaan sangat bagus dan memadai,1
"Kamar mandi disegala penjuru harap diperhatikan, apalg di student center",1
Saran saya agar kualitas air di asrama kedepanya jadi makin baik dan apabila ada penghentian air harap diumumkan terlebih dahulu agar kami lebih siap,-1
sudah baik,1
lebih banyak mendengar aspirasi mahasiswa,1
baik,1
"Wifi.id di asrama terkadang di netcut oleh orang yg tidak bertanggung jawab. Terdapat Mahasiswa yang merokok di dalam kamar asrama dengan jumlah banyak (cerita dari teman kelas saya). Apakah tidak ada Jam 'tenang' di asrama? karena jam 10 malam lebih,asrama masih aktif dan menimbulkan suara bising",-1
Cukup,1
"untuk asramah dimohon agar air keran dapat disaring terlebih dahulu,dan untuk yang lainnya menurut saya baik",-1
"sudah bagus, pertahankan dan di tingkatkan kembali",1
layanan kesehatan dipermudah syarat untuk jaminan rumah sakit,1
"ring basket asrama tolong diperbaiki, karena kalau di student center lapangan nya sering dipakai ukm sehingga tidak bisa bermain basket",-1
"untuk asrama kalau bisa lebih dari 1 tahun, maksimal 3 tahun",-1
Sudah bagus,1
kegiatan lab jangan dibatasi sampai jam 22.00,1
Lebih baik lagi,1
lebih di tingkat kan lagi untuk pelayanan kesehatannya,1
"hanya asrama. Airnya kotor, tolong di perbaiki pak sistem pensupply airnha. Terima kasih",-1
lebih  tingkatkan lagi,-1
cukup baik,1
air di asrama terlalu kecil,-1
asrama kurang bersih airnya dan internetnya kurang cepet,-1
tidak ada,1
asrama nya semoga bisa lebih layak dan airnya bersih,-1
"Sudah cukup baik, cuma air yang berada diasrama terkadang-kadang kotor",-1
tidak ada,1
"Tetap berikan yang terbaik, jangan mudah lelah",1
"akses yang kurang dari sini adalah kendaraan, minima sepeda seharusnya disediakan peminjaman secara gratis dan tertib dengan kata lain tetap diawasi agar fasilitas yang diberikan tidak disalahgunakan, untuk kesehatan poliklinik telkom harus menyediakan orang-orang kesehatan yang memang benar-benar mengabdi dan dengan baik melakukan pekerjaanya dalam mengobati mahasiswa, untuk UKM dan asrama menurut saya sudah cukup baik",1
bagus,1
bagus tingkatkan bray. hehe,1
"Pemberian obat jangan pelit dong, fasilitasnya jelek banget",-1
"Air asrama harus lebih diperhatikan lagi, layanan kesehatan harus lebih ramah lagi dan tepat waktu jika sedang beristirahat,",-1
-,1
Baik.. hanya perlu peningkatan lagi agar jadi yang terbaik,1
c,1
"parkir motor terlalu sempit, (FIT, FIK, FEB), kartu parkir tidak ada",1
sudah cukup baik,1
tingkatkan.,-1
even better,1
lebih disiplin lagi,-1
lebih baik,1
no comment,1
semuanya lengkap dan nyaman,1
Semoga layanannya dapat lebih ditingkatkan,-1
"Sejauh ini tidak ada kendala, saya cukup puas dengan pelayanan bidang Kemahasiswaan.",1
sudah baik. tingkatkan lagi,1
dipermudah lagi dan di percepat,-1
Baik,1
AIR DI ASRAMA HARUSNYA LEBIH BERSIH,-1
Kurang terbuka,-1
Good,1
Baik,1
agar dipertahankan dan dipertahankan,-1
lebih ramah,-1
dipercepat penyebaran informasinya,-1
Sudah bagus,1
"Poliklinik yang kurang bagus dalam pelayanan kesehatan , tidak serius dalam menangani pasiennya",-1
"untuk asrama fasilitas dan keamanannya ditingkatkan, seperti air, air di gedung dana sangat kotor.",1
sudah baik.,1
mohon di perbaiki lagi,-1
"asramanya sudah baik tetapi layanan internetnya kurang baik dan airnya kotor, poliklinik juga peralatan dan obatnya harusnya diperbaiki",-1
semakin kedepan harus diperbaiki,-1
saya sudah cukup puas dengan pelayanan yang diberikan,1
"sudah baik, diharapkan lebih disiplin",-1
"asrama masalah air nya kurang bersih dan kuning sekali, kesehatan di telkom sebenarnya baik tapi jika kita mengalami penyakit parah dan  harus di bawa ke rumah sakit, tidak semua rumah sakit menerima kartuasuransi kesehatan mahasiswa telkom. jadi telkom harus memperluas kerjasama rumah sakit yang ada di bandung untuk kesejahteraan mahasiswa telkom.",-1
Lebih diperbaiki lagi,-1
Bagus,1
semoga lebih baik lagi,-1
sangat baik,-1
"kalau mas tukang amidis boleh masuk dan membantu membawa galon, kenapa mas tukang aqua gaboleh, teman teman saya di asrama lain boleh masuk kenapa di gedung e gaboleh?",-1
baik,1
"sara terhadap asarama sih airnya yang kurang bersih , kesehatan sih sudah bagua , asuransi masih kurang untuk apa manfaatnya,kegiatan mahasiswa terbatas",-1
tidak ada,1
"untuk kesehatan, khususnya di klinik, kalau bisa dokternya dipilih yang berkompeten dan sudah ahli *jam terbangnya tinggi, jadi mahasiswa/i yang berobat akan merasa aman",1
cukup baik,1
Lebih diperhatikan kebersihan asrama.,-1
asrama lebih diperbaiki lagi fasilitasnya seperti air bersih,-1
Sudah memuaskan,1
"Sangat buruk, terutama pelayanan kesehatan yang sangat bertele tele administrasinya",-1
Tidak ada,1
baik,1
"Masih harus ditingkatkan lagi kualitas layanan kemahasiswaannya, adakan evaluasi secara keseluruhan.",-1
"terus ditingkatkan dan terus diperbaiki, cepat dalam tanggapan dan emmberikan respon, serta pengecekan secara perikala",-1
tune asrama ditingkatkan lgi (sering crash dan lemot),-1
oke,1
tingkatkan,-1
layanan kemahasiswaan harusnya dapat mendukung kegiatan mahasiswa yang bermanfaat,1
sudah baik,1
sudah baik,1
Lebih diperhatikan,-1
kalau bisa tempat sampah yang dilobi dibersihkan (dicuci) karena udah sangat bau.,-1
Sudah Baik,1
sudah cukup baik,1
lebih ditingkatkan lagi,-1
Tidak ada,1
"saya mendengar dari teman-teman kalau layanan poliklinik tidak memuaskan. Ketika teman saya memeriksakan dirinya ke poliklinik, teman saya dinyatakan sehat padahal teman saya mengalami gejala tipes.",1
semoga lebih baik lagi,-1
Perbaiki,-1
menjadi lebih baik,-1
-,1
Kurang teratur,-1
-,1
Lebih dijaga kebersihan nya,1
terima kasih,1
Medical staff at the healthcare should be supervised and revised,1
cukup memuaskan,1
Harus adil dan merata,-1
bagus,1
keren,1
Bidang kesehatan : klinik yang berada dilingkungah Telkom University sudah melakukan penganan yang cepat dan tanggap. Dan juga setiap kali saya periksa seringkali cepat sembuh,1
mohon di perbaiki,-1
klinik lebih diperbagus,1
baik,1
Sudah cukup baik,1
no comment,1
Di perbanyak lagi kantinnya,1
perbaiki lagi,-1
no komen,1
"Saya tidak tahu,karena tida asrama,tida pernah ke klinik Telkom, tidak tahu asuransi pada Telkom & tida ikut UKM.",1
"alangkah baiknya jika pelayanan klinik gratis untuk semua mahasiswa Tel-U bukan hanya untuk anak asrama, karena untuk klinik dari masing2 fakultas kurang memadai fasilitasnya.",1
Kurang sosialisasi untuk UKM,1
baik,1
Kalau bagi saya.layanan mahasiswa dalam bidang kesehatan harus di rubah.karna dokter2 di klinik pada ngaco semua.,1
sudah baik,1
Sudah,1
Tingkatkan,1
baik,1
Cukup,1
airnya kotor dan banayk cacing,1
0,1
"Sistem air bersih di Asrama tahun ini kurang baik. Sebaiknya segera diperbaiki untuk jangka panjang, asuransi dari kampus hampir tidak terpakai sama sekali sebab tidak ada info yang jelas, Sebauknya kampus lebih mensupport lagi kegiatan mahasiswa yang bermanfaat dan mendukung mahasiswa yang akan berkompetisi di tingkat internasional",-1
memadai,1
good,1
Agar lebih responsif lagi,-1
