Index,Asrama,Kesehatan,Asuransi,Beasiswa,Kegiatan Mahasiswa
C = 1,90,90.4,91.2,92.4,89
C = 2,89.4,90.2,91.6,92,89
C = 3,89.4,90.2,91.4,92,89.2
C = 4,89,90.4,91.4,91.8,89.2
C = 5,89.6,89.8,91.4,91.8,89
C = 6,89.6,90,91.4,91.6,88.6
C = 7,89.6,89.8,91.4,91.4,88.2
C = 8,89.6,89.8,91.4,91.4,88.2
C = 9,89.6,89.8,91.2,91.2,88.2
C = 10,89.6,90,91.4,91.2,88.2
C = 20,89.6,90,91.6,91.4,88.4
C = 30,89.6,90,91.6,91.4,88.4
C = 40,89.6,90,91.2,91.4,88.2
C = 50,89.6,90,91.2,91.4,88.2
C = 60,89.6,90,91.2,91.4,88.2
C = 70,89.6,90,91,91.4,88.4
C = 80,89.6,90,91.2,91.4,88.4
C = 90,89.6,90,91.2,91.4,88.2
C = 100,89.6,90,91.2,91.4,88.2
,90,90.4,91.6,92.4,89.2
