Index,Asrama,Kesehatan,Asuransi,Beasiswa,Kegiatan Mahasiswa
C = 0,90.0,90.4,91.2,92.4,89.0
C = 1,89.4,90.2,91.6,92.0,89.0
C = 2,89.4,90.2,91.4,92.0,89.2
C = 3,89.0,90.4,91.4,91.8,89.2
C = 4,89.6,89.8,91.4,91.8,89.0
C = 5,89.6,90.0,91.4,91.6,88.6
C = 6,89.6,89.8,91.4,91.4,88.2
C = 7,89.6,89.8,91.4,91.4,88.2
C = 8,89.6,89.8,91.2,91.2,88.2
C = 9,89.6,90.0,91.4,91.2,88.2
C = 10,89.6,90.0,91.6,91.4,88.4
C = 11,89.6,90.0,91.6,91.4,88.4
C = 12,89.6,90.0,91.2,91.4,88.2
C = 13,89.6,90.0,91.2,91.4,88.2
C = 14,89.6,90.0,91.2,91.4,88.2
C = 15,89.6,90.0,91.0,91.4,88.4
C = 16,89.6,90.0,91.2,91.4,88.4
C = 17,89.6,90.0,91.2,91.4,88.2
C = 18,89.6,90.0,91.2,91.4,88.2
